보유와인번호,군집,평점,와인번호
1,5,4.4,1
2,5,4.5,2
3,4,3.8,3
4,5,4.5,4
5,5,4.4,5
6,0,3.9,6
7,5,4.3,7
8,5,4.1,8
9,5,4.3,9
10,5,4.2,10
11,5,4.2,11
12,6,4.1,12
13,5,4.1,13
14,5,4.4,14
15,5,4.3,15
16,6,3.9,16
17,2,4.6,17
18,7,4.2,18
19,7,4.1,19
20,7,3.7,20
21,7,3.8,21
22,2,4.2,22
23,2,4.1,23
24,2,4.3,24
25,2,4,25
26,-1,4.1,26
27,2,4,27
28,2,4.2,28
29,2,4,29
30,2,4,30
31,4,3.6,35
32,4,3.3,36
33,0,2.4,37
34,0,2.3,38
