품명,가격,카테고리,생산지,품종,당도,산도,바디,타닌
일 몰리노 디 그레이스 그라띠우스,"158,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,3,4,3
"예르만, 피나콜루세","154,000원",레드,이탈리아,피뇰로 (Pignolo) ,1,4,3,3
"캐슬러, 캐네디안 리드 쉬라즈","53,000원",레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"캐슬러, 올드 바스타드 쉬라즈",가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"캐슬러, 올드 바인 까베르네 소비뇽","101,200원",레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,5
"캐슬러, 올드 바인 세미용","53,000원",화이트,호주,세미용 (Semillon) ,1,3,3,1
"캐슬러, 올드 바인 쉬라즈",가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,4
"캐슬러, 스톤호스 쉬라즈",가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"라 브란카이아, 키안티 클라시코",가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,4,4,3
라 끼아라 가비 델 꼼무네 디 가비,"72,000원",화이트,이탈리아,코르테제 (Cortese) ,1,4,2,1
라 람빠 띠 뿐냐노 지젤레,"162,800원",레드,이탈리아,메를로 (Merlot) ,1,3,4,4
"라뮤라, 그릴로","18,700원",화이트,이탈리아,그릴로 (Grillo) ,1,3,1,1
"라뮤라, 네로 다볼라","19,800원",레드,이탈리아,네로 다볼라 (Nero d'Avola) ,1,4,3,3
"리징엄, 클래식 클래어 쉬라즈",가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,4
"리징엄, 빈61 쉬라즈",가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"리징엄, 빈7 리슬링",가격정보없음,화이트,호주,리슬링 (Riesling) ,1,3,3,1
리징엄 매그너스 쉬라즈,가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"마테틱, 코라릴로 샤도네이",가격정보없음,화이트,칠레,샤르도네 (Chardonnay) ,1,3,3,1
"마테틱, 이큐 샤도네이","73,000원",화이트,칠레,샤르도네 (Chardonnay) ,1,3,4,1
"마테틱, 이큐 피노 누아","112,000원",레드,칠레,피노 누아 (Pinot Noir) ,1,4,3,3
"마테틱, 이큐 소비뇽 블랑","52,000원",화이트,칠레,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
"마테틱, 이큐 시라","112,000원",레드,칠레,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
산타 크루즈 마운틴 까베르네 소비뇽,"213,000원",레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,5,5
러시안 리버 밸리 샤도네,"82,000원",화이트,미국,샤르도네 (Chardonnay) ,1,3,3,1
"맥기건, 퍼스널 리저브 까베르네 소비뇽",가격정보없음,레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
"맥기건, 빈 7000 샤도네",가격정보없음,화이트,호주,샤르도네 (Chardonnay) ,1,3,3,1
"맥기건, 지누스 4 까베르네 쇼비뇽",가격정보없음,레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
"맥기건, 지누스 4 쉬라즈",가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"맥기건, 퍼스널 리저브 보트리티스 세미용",가격정보없음,화이트,호주,세미용 (Semillon) ,5,3,5,1
"맥기건, 퍼스널 리저브 쉬라즈","172,000원",레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,5
템퍼스 투 퓨러 랜지 샤도네,"86,000원",화이트,호주,샤르도네 (Chardonnay) ,1,3,4,1
"맥기건, 빈 2000 쉬라즈",가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"매기건, 빈 4000 까베르네 소비뇽",가격정보없음,레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
"맥기건, 블랙 라벨 샤도네이","44,000원",화이트,호주,샤르도네 (Chardonnay) ,1,3,3,1
"맥기건, 블랙 라벨 메를로",가격정보없음,레드,호주,메를로 (Merlot) ,1,3,3,3
"맥기건, 블랙 라벨 쉬라즈",가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,3
템퍼스 투 퓨러 랜지 메를로,"86,000원",레드,호주,메를로 (Merlot) ,1,3,3,2
사엣따,"147,400원",레드,이탈리아,산지오베제 (Sangiovese) ,1,4,4,3
"파올로 스카비노, 돌체토 달바",가격정보없음,레드,이탈리아,돌체토 (Dolcetto) ,1,4,3,2
"파올로 스카비노, 바롤로 '아눈지아따' 리제르바","870,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,0,0
"파올로 스카비노, 바롤로","286,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,0,0
파커 테라 로싸 메를로,"164,000원",레드,호주,메를로 (Merlot) ,1,3,4,3
파커 테라 로싸 까베르네 소비뇽,"112,000원",레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,5
포데레 포지오 스칼레떼 일 까르보나이오네,"220,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,0,0,0
"살케토, 살코","209,000원",레드,이탈리아,프루놀로 젠타일 (Prugnolo Gentile) ,1,4,5,4
"살케토, 비노 노빌레 디 몬테풀치아노","124,300원",레드,이탈리아,프루놀로 젠타일 (Prugnolo Gentile) ,1,4,4,4
"산타 아나스타시아, 꼰템포 네로 다볼라","63,000원",레드,이탈리아,네로 다볼라 (Nero d'Avola) ,1,3,4,4
"산타 아나스타시아, 인졸리아 비앙꼬","47,300원",화이트,이탈리아,인졸리아 (Inzolia) ,1,3,3,1
"산타 로라, 로라 하트윅 리저브 까베르네 소비뇽","38,000원",레드,칠레,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,4
"산타 로라, 로라 하트윅 리저브 까르메네르","38,000원",레드,칠레,카르메네르 (Carmenere) ,1,3,3,3
"산타 로라, 로라 하트윅 리저브 샤도네","34,000원",화이트,칠레,샤르도네 (Chardonnay) ,1,3,3,1
"산타 로라, 로라 하트윅 리저브 메를로","38,000원",레드,칠레,메를로 (Merlot) ,1,3,3,3
"셀바삐아나, 키안티 루피나 부체르끼알레 리제르바","170,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,3,4,4
"또스띠, 아스띠 돌체","50,000원",스파클링,이탈리아,까넬리 모스카토  (Canelli Moscato) ,4,2,3,1
"또스띠, 브라케토 다퀴",가격정보없음,스파클링,이탈리아,브라케토 (Brachetto) ,4,1,2,1
"베네가쭈, 프로세코 브뤼","52,000원",스파클링,이탈리아,프로세코 (Prosecco) ,1,3,2,1
"비에티, 바르베라 달바 '트레 비그네'","63,000원",레드,이탈리아,바르베라 (Barbera) ,1,4,3,4
"비에띠, 돌체토 달바 트레비네","98,000원",레드,이탈리아,돌체토 (Dolcetto) ,1,0,0,0
"비에티, 바르베라 다스티 '라 끄레나'","161,000원",레드,이탈리아,바르베라 (Barbera) ,1,4,3,3
"비에티, 모스카토 다스티","42,000원",화이트,이탈리아,모스카토  (Moscato ) ,4,2,2,1
"비에티, 바르바레스코 '마세리아'","210,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,3,4,4
"비에티, 바롤로 '카스틸리오네'","145,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,4,5
"비에티, 바롤로 라자리또","500,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,4,5
"비에티, 바롤로 '라베라'","500,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,4,4
"비에티, 랑게 네비올로 '페바코'","66,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,4,4
팜스 쉬라즈,"105,000원",레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,4
"파토리아 데이 바르비, 브루스코 데이 바르비","44,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,4,3,3
앙리 오브 펠햄 리슬링 아이스와인,"120,000원",화이트,캐나다,리슬링 (Riesling) ,5,4,4,1
"앙리 오브 펠햄, 비달 아이스와인","100,000원",화이트,캐나다,비달 (Vidal) ,5,4,4,1
"세븐힐, 멀롯",가격정보없음,레드,호주,메를로 (Merlot) ,1,3,4,3
"팀 아담스, 애버펠디 쉬라즈","179,000원",레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"팀 아담스, 쉬라즈","70,000원",레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"틴딘디, 카베르네 쇼비뇽",가격정보없음,레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,4
"틴딘디, 샤르도네",가격정보없음,화이트,호주,샤르도네 (Chardonnay) ,1,3,3,1
허니 아이스 아이스와인,"38,000원",화이트,호주,세미용 (Semillon) ,5,3,4,1
까파르조 브루넬로 디 몬탈치노,"184,000원",레드,이탈리아,산지오베제 그로쏘  (Sangiovese Grosso) ,1,4,4,4
까파르조 브루넬로 디 몬탈치노 라 카사,"187,000원",레드,이탈리아,산지오베제 그로쏘  (Sangiovese Grosso) ,1,3,4,4
"까파르조, 로쏘 디 몬탈치노","139,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,3,3,4
"샹송 페레 에 피스, 샤도네",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,4,3,1
"샹송 페레 에 피스, 피노 누아",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,5,3,2
"샹송 페레 에 피스, 샤블리",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,4,2,1
"샹송 페레 에 피스, 샤블리 1er 크뤼",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,5,3,1
"샹송 페레 에 피스, 샤블리 그랑 크뤼 레 끌로스",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,4,4,1
"샹송 페레 에 피스, 알록스 꼬르똥",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,5,3,2
"샹송 페레 에 피스, 꼬르통 샤를마뉴 그랑 크뤼",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,5,4,1
"샹송 페레 에 피스, 꼬르똥 그랑 크뤼",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,5,4,1
"샹송 페레 에 피스, 꼬뜨 드 본 빌라쥐",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,4,2,2
"샹송 페레 에 피스, 크리오 바따르 몽라쉐 그랑 크뤼",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,5,5,1
"샹송 페레 에 피스, 뫼르소",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,5,4,1
"샹송 페레 에 피스, 뿔리뉘 몽라쉐",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,5,3,1
"샹송 페레 에 피스, 샹베르뗑 그랑 크뤼",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,4,3,3
"샹송 페레 에 피스, 샹볼 뮈지니",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,4,2,2
"샹송 페레 에 피스, 끌로 드 부조 그랑 크뤼",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,4,4,3
"샹송 페레 에 피스, 꼬뜨 드 뉘 빌라쥐",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,5,3,2
"샹송 페레 에 피스,  줴브리 샹베르땡 프르미에 크뤼 '끌로 프리유'",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,5,4,3
"샹송 페레 에 피스, 줴브리 샹베르땡",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,5,3,2
"샹송 페레 에 피스, 뉘 생 죠르쥬",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,4,3,2
"샹송 페레 에 피스, 뿌이 퓌세",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,4,3,1
"끌로 뒤 발, 샤르도네","170,000원",화이트,미국,샤르도네 (Chardonnay) ,1,3,3,1
"끌로 뒤 발, 피노 누아 리져브",가격정보없음,레드,미국,피노 누아 (Pinot Noir) ,1,3,4,4
"꼬르데로 디 몬테제모로, 돌체토 달바",가격정보없음,레드,이탈리아,돌체토 (Dolcetto) ,1,4,3,2
"꼬르데로 디 몬테제모로, 바롤로 몬팔레토",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,4,3,5
"꼬르데로 디 몬테제모로, 랑게 샤르도네 엘리오로",가격정보없음,화이트,이탈리아,샤르도네 (Chardonnay) ,1,3,3,1
"닥터 루젠, 리슬링","42,000원",화이트,독일,리슬링 (Riesling) ,3,5,2,1
"닥터 루젠, 리슬링 아우스레제 골드캡슬",가격정보없음,화이트,독일,리슬링 (Riesling) ,4,2,3,1
"닥터 루젠, 리슬링 아이스바인",가격정보없음,화이트,독일,리슬링 (Riesling) ,5,4,4,1
"닥터 루젠, 리슬링 카비넷","86,000원",화이트,독일,리슬링 (Riesling) ,2,5,3,1
"닥터 루젠, 리슬링 슈페트레제",가격정보없음,화이트,독일,리슬링 (Riesling) ,3,3,3,1
"랑글로아, 상세르","83,000원",화이트,프랑스,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
맥스웰 까베르네 쇼비뇽,가격정보없음,레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
맥스웰 샤도네 박스 쓰리,가격정보없음,화이트,호주,샤르도네 (Chardonnay) ,1,4,3,1
맥스웰 프론티냑 슈페트레제,가격정보없음,화이트,호주,리슬링 (Riesling) ,3,4,3,1
맥스웰 쉬라즈 엘렌 스트리트,가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"밀루스트, 샤도네이","100,000원",화이트,남아프리카,샤르도네 (Chardonnay) ,1,3,3,1
"밀루스트, 피노 누아",가격정보없음,레드,남아프리카,피노 누아 (Pinot Noir) ,1,5,3,3
"밀루스트, 까베르네 소비뇽",가격정보없음,레드,남아프리카,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,3,4
미쉘 린치 레드 메를로 375ml,가격정보없음,레드,프랑스,메를로 (Merlot) ,2,0,0,0
미쉘 린치 레드 메를로,가격정보없음,레드,프랑스,메를로 (Merlot) ,1,4,3,2
"캄페로, 까베르네 소비뇽","14,000원",레드,칠레,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,3,3
깜페로 샤도네,"14,000원",화이트,칠레,샤르도네 (Chardonnay) ,1,3,2,1
캄페로 메를로,"14,000원",레드,칠레,메를로 (Merlot) ,1,3,3,3
몬테카스트로,가격정보없음,레드,스페인,템프라니요 (Tempranillo) ,1,3,4,4
"오이스터 베이, 샤도네","42,000원",화이트,뉴질랜드,샤르도네 (Chardonnay) ,1,0,3,0
"오이스터 베이, 메를로",가격정보없음,레드,뉴질랜드,메를로 (Merlot) ,1,4,3,4
"오이스터 베이, 피노누아","87,000원",레드,뉴질랜드,피노 누아 (Pinot Noir) ,1,0,3,0
"오이스터 베이, 소비뇽 블랑","63,000원",화이트,뉴질랜드,소비뇽 블랑 (Sauvignon Blanc) ,1,0,2,0
"파스칼 토소, 까베르네 쇼비뇽",가격정보없음,레드,아르헨티나,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
파스칼 토소 까베르네 쇼비뇽 리져브,가격정보없음,레드,아르헨티나,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
"파스칼 토소, 샤도네이",가격정보없음,화이트,아르헨티나,샤르도네 (Chardonnay) ,1,3,3,1
파스칼 토소 소비뇽 블랑,가격정보없음,화이트,아르헨티나,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
"파스칼 토소, 브뤼",가격정보없음,스파클링,아르헨티나,샤르도네 (Chardonnay) ,1,3,2,1
화이트 진팔델,가격정보없음,화이트,미국,진판델 (Zinfandel) ,3,2,2,1
"산타 모니카, 그랑 리제르바 까베르네 소비뇽",가격정보없음,레드,칠레,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
"산타 모니카, 까베르네 쇼비뇽",가격정보없음,레드,칠레,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,2
"산타 모니카, 샤도네",가격정보없음,화이트,칠레,샤르도네 (Chardonnay) ,1,3,3,1
"산타 모니카, 메를로",가격정보없음,레드,칠레,메를로 (Merlot) ,1,3,3,3
산타 모니카 소비뇽 블랑,가격정보없음,화이트,칠레,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
"산타 모니카, 티에라 데 솔 까베르네소비뇽",가격정보없음,레드,칠레,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
"삐에르 스파, 게뷔르츠트라미너 리저브",가격정보없음,화이트,프랑스,게뷔르츠트라미너 (Gewurztraminer) ,2,3,4,1
"삐에르 스파, 게뷔르츠트라미너 스포렌 그랑 크뤼",가격정보없음,화이트,프랑스,게뷔르츠트라미너 (Gewurztraminer) ,1,3,4,1
"삐에르 스파, 리슬링 리저브",가격정보없음,화이트,프랑스,리슬링 (Riesling) ,1,3,3,1
"비달 플뢰리, 끄로즈 에르미따쥬 루즈",가격정보없음,레드,프랑스,시라/쉬라즈 (Syrah/Shiraz) ,1,4,3,3
"비달 플뢰리, 에르미따쥬",가격정보없음,레드,프랑스,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,4
"산 펠리체, 키안티 클라시코 리제르바 '일 그리지오'",가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,3,4,3
"산 펠리체, 브루넬로 디 몬탈치노 깜포죠반니","106,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,0,0,0
"안드리아노, 모스카토 지알로","34,000원",화이트,이탈리아,모스카토  (Moscato ) ,4,1,3,1
"안드리아노, 소비뇽 테를란드","32,000원",화이트,이탈리아,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
"아르지아노, 브루넬로 디 몬탈치노",가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,3,4,4
"아르지아노, 수올로",가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,4,4,3
"브루노 로카, 돌체또 달바 트리폴레",가격정보없음,레드,이탈리아,돌체토 (Dolcetto) ,1,3,4,2
"브루노 로카, 바르베라 다스띠","68,000원",레드,이탈리아,바르베라 (Barbera) ,1,0,0,0
"브루노 로카, 바르바레스코","179,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,0,0
"브루노 로카, 바르바레스코","108,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,0,0
"브루노 로카, 바르바레스코","124,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,0,0
"브루노 로카, 바르바레스코 꼬파로사","230,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,4,0
"브루노 로카, 바르바레스코 라바야","179,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,0,0
"깐텔레, 살리체 살렌티노 리제르바","32,000원",레드,이탈리아,네그로아마로 (Negroamaro) ,1,3,4,4
"칸티나 베르멘티노, 비녜 델 뽀르딸레 브뤼","41,000원",스파클링,이탈리아,베르멘티노 (Vermentino) ,1,4,2,1
"까프릴리, 브루넬로 디 몬탈치노 리제르바",가격정보없음,레드,이탈리아,산지오베제 그로쏘  (Sangiovese Grosso) ,1,4,4,4
"까사 알레 바께, 끼안띠 꼴리 세네시 치나브로","55,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,4,3,2
"카스텔로 델 테리치오, 콘 벤토","74,000원",화이트,이탈리아,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
"카스텔로 디 몬산토, 네모 카베르네 소비뇽",가격정보없음,레드,이탈리아,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
"카스텔로 디 몬산토, 산지오베제 파브리지오 비앙키",가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,4,4,3
"체르바이오나, 브루넬로 디 몬탈치노",가격정보없음,레드,이탈리아,브루넬로 (Brunello) ,1,3,4,4
"치아치, 브루넬로 디 몬탈치노","189,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,4,4,4
"도나텔라 치넬리 콜롬비니, 브루넬로 디 몬탈치노 프리메돈네","155,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,3,4,4
"콘테르노 판티노, 바르베라 달바 비뇨타",가격정보없음,레드,이탈리아,바르베라 (Barbera) ,1,4,3,3
"콘테르노 판티노, 바롤로",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,4,3,4
"콘테르노 판티노, 바롤로 파루지",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,4,3,5
"콘테르노 판티노, 랑게 샤르도네 바스티아","76,000원",화이트,이탈리아,샤르도네 (Chardonnay) ,1,3,3,1
"다밀라노, 바롤로 깐누비",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,5,3,5
"다밀라노, 바롤로 리스테",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,4,5,5
"디에볼레,  끼안띠 끌라시꼬 리세르바 노벤첸토","110,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,0,0,0
"엘리오 그라소, 바롤로 지네스트라 비냐 까사 마떼",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,4,4,5
"엘리오 그라소, 바롤로 '가바리니 끼니에라'",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,4,3,5
"엘리오 그라소, 바롤로 룬콧",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,4,3,4
"팔레스꼬, 몬티아노","158,000원",레드,이탈리아,메를로 (Merlot) ,1,3,4,4
"팔레스꼬, 텔루스 시라",가격정보없음,레드,이탈리아,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
판티 산 필리뽀 브루넬로 디 몬탈치노,가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,3,4,3
"지안프란꼬 알레싼드리아, 바롤로 산 죠바니","159,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,5,5
"귀치아르디니 스트로찌, 쏘돌레","73,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,4,3,3
"이나마, 소비뇽 불까이아 퓌메",가격정보없음,화이트,이탈리아,소비뇽 블랑 (Sauvignon Blanc) ,1,3,3,1
체르바이올라 브루넬로 디 몬탈치노 쌀비오니,가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,0,4,0
라 빨라제타 브루넬로 디 몬탈치노,"135,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,3,4,4
"라 빨라제타, 브루넬로 디 몬탈치노 리세르바","155,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,4,4,4
"테누타 디 트리노로, 브루넬로 디 몬탈치노","104,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,0,0,0
"테누타 디 트리노로, 브루넬로 디 몬탈치노 디바스코","142,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,0,0,0
"라 스콜카, 가비 데이 가비 블랙 라벨",가격정보없음,화이트,이탈리아,코르테제 (Cortese) ,1,4,2,1
"라 스피네따, 바르베라 달바 갈리나","175,000원",레드,이탈리아,바르베라 (Barbera) ,1,3,3,4
"라 스피네따, 바르베라 다스티 카 디피안",가격정보없음,레드,이탈리아,바르베라 (Barbera) ,1,4,3,3
"라 스피네따, 바르베라 다스티 수페리오레 비온죠",가격정보없음,레드,이탈리아,바르베라 (Barbera) ,1,3,3,2
"라 스피네따, 바르베라 다스티 수페리오레",가격정보없음,레드,이탈리아,바르베라 (Barbera) ,1,4,3,3
"라 스피네따, 모스카또 다스티 브리코 꽐리아 375ml",가격정보없음,화이트,이탈리아,모스카토  (Moscato ) ,5,0,0,0
"라 스피네따, 모스카토 다스티 브리코 콸리아",가격정보없음,화이트,이탈리아,모스카토  (Moscato ) ,4,2,3,1
"라 스피네따, 바르바레스코 스타데리","400,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,5,3,5
"라 스피네따, 바르바레스코 갈리나","400,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,5,3,5
"라 스피네따, 바르바레스코 발레이라노","400,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,3,3,4
"라 스피네따, 바롤로 캄페",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,5,3,5
"라 스피네따, 랑게 네비올로","91,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,3,3,3
"라 스피네따, 일 네로 디 까사노바",가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,3,3,3
"라 발렌티나, 몬테풀치아노 다브루쪼 비노미오",가격정보없음,레드,이탈리아,몬테풀치아노 (Montepulciano) ,1,4,5,4
"라 발렌티나, 몬테풀치아노 다브루쪼",가격정보없음,레드,이탈리아,몬테풀치아노 (Montepulciano) ,1,3,4,4
"레 폰띠, 끼안띠 끌라시꼬","58,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,4,3,2
"레 마키올레, 메쏘리오","660,000원",레드,이탈리아,메를로 (Merlot) ,1,3,5,4
"르 마끼올레, 메쏘리오",가격정보없음,레드,이탈리아,메를로 (Merlot) ,1,0,5,0
"르 마끼올레, 팔레오",가격정보없음,레드,이탈리아,카베르네 프랑 (Cabernet Franc) ,1,0,0,0
"르 마끼올레, 스크리오",가격정보없음,레드,이탈리아,시라/쉬라즈 (Syrah/Shiraz) ,1,0,0,0
"레 마키올레, 스크리오",가격정보없음,레드,이탈리아,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,5
"메종 껠란, 피노 누아","60,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,5,2,2
"메종 껠란, 제브리 샹베르땡","95,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,5,2,2
"메종 껠란, 뉘 생 조르쥬","140,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,4,2,2
"메종 껠란, 본 로마네","115,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,4,2,2
"마스트로얀니, 브루넬로 디 몬탈치노","135,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,3,4,4
"마스트로얀니, 브루넬로 디 몬탈치노 스끼에나 다시노","230,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,3,4,4
"메짜코로나, 메를로",가격정보없음,레드,이탈리아,메를로 (Merlot) ,1,0,3,0
"메짜코로나, 샤르도네 '코베리'",가격정보없음,화이트,이탈리아,샤르도네 (Chardonnay) ,1,3,3,1
"메짜코로나, 피노 그리지오",가격정보없음,화이트,이탈리아,피노 그리지오 (Pinot Grigio) ,1,0,3,0
"무쏘, 바르바레스코 포라","84,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,3,4
"무쏘, 바르바레스코 리오 쏘르도","84,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,3,4
"니노 네그리, 발텔리나 스푸르사트 5 스텔레","135,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,3,0
"니노 네그리, 발텔리나 스푸르사트 5 스텔레","135,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,3,3
"니노 네그리, 발텔리나 스푸르사트","88,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,3,4
파토리아 니타르디 끼안티 클라시코 리제르바 니타르디,가격정보없음,레드,이탈리아,산지오베제 (Sangiovese) ,1,0,5,0
오데로 바롤로 비냐 리온다,"210,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,0,0,0
"오데로, 바롤로 비냐 리온다","235,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,3,4,4
