품명,가격,카테고리,생산지,품종,당도,산도,바디,타닌
"카스텔로 디 퀘르체토, 베르나차 디 산지미냐노","24,000원",화이트,이탈리아,베르나키아 (Vernaccia) ,1,3,3,1
"카스텔로 디 퀘르체토, 일 솔레 디 알레산드로",가격정보없음,레드,이탈리아,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
케이머스 빈야드 메르 솔레이 샤도네,가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,0,4,0
"케이머스 빈야드, 카버네 소비뇽 스페셜 셀렉션",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
"케이머스, 스페셜 셀렉션 카버네 소비뇽","480,000원",레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,5
체사리 미티코 샤도네,가격정보없음,화이트,이탈리아,샤르도네 (Chardonnay) ,1,3,3,1
샤또 세르땅 마르젤,가격정보없음,레드,프랑스,메를로 (Merlot) ,1,0,4,0
샤또 세르땅 마르젤,"277,000원",레드,프랑스,메를로 (Merlot) ,1,0,4,0
샤또 세르땅 마르젤,"160,000원",레드,프랑스,메를로 (Merlot) ,1,0,0,0
"샤또 수버렌, 멀롯",가격정보없음,레드,미국,메를로 (Merlot) ,1,2,4,3
"샤또 수버렌, 샤르도네",가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,3,3,1
샤도네 로버트 영 빈야드,가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,3,3,1
"샤또 생진, 소노마 카운티 샤도네이",가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,3,4,1
"샤토 생 미셸, 리저브 카버네 소비뇽",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
"샤토 생 미셸, 콜드 크릭 샤도네이",가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,4,4,1
"샤또 생 미셸, 콜럼비아 밸리 샤도네이","50,000원",화이트,미국,샤르도네 (Chardonnay) ,2,0,3,0
"에로이카, 리슬링",가격정보없음,화이트,미국,리슬링 (Riesling) ,2,5,3,1
크리스티앙 무엑스 멀롯,가격정보없음,레드,프랑스,메를로 (Merlot) ,1,3,3,3
"끌로 앙리, 피노 누아","115,000원",레드,뉴질랜드,피노 누아 (Pinot Noir) ,1,5,4,3
"끌로 앙리, 소비뇽 블랑","92,000원",화이트,뉴질랜드,소비뇽 블랑 (Sauvignon Blanc) ,1,5,4,1
"콜긴, 9 이스테이트 시라",가격정보없음,레드,미국,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,5
콜롬비아 크레스트 그랜드 이스테이트 카버네 소비뇽,가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,4,0
콜롬비아 크레스트 그랜드 이스테이트 샤도네이,가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,0,3,0
콜롬비아 크레스트 투 바인스 카버네 소비뇽,가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,3,0
콜롬비아 크레스트 투 바인스 샤도네이,가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,0,3,0
콜롬비아 크레스트 투 바인스 멀롯,가격정보없음,레드,미국,메를로 (Merlot) ,2,0,3,0
콜롬비아 크레스트 투 바인스 멀롯,가격정보없음,레드,미국,메를로 (Merlot) ,2,0,3,0
콜롬비아 크레스트 투 바인스 리슬링,가격정보없음,화이트,미국,리슬링 (Riesling) ,1,0,3,0
콜롬비아 크레스트 투 바인스 소비뇽 블랑,가격정보없음,화이트,미국,소비뇽 블랑 (Sauvignon Blanc) ,1,0,3,0
투바인 쉬라즈,"24,800원",레드,미국,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
"콘티 디 부스까레토, 라크리마 디 모로 달바",가격정보없음,레드,이탈리아,라크리마 (Lacrima) ,1,3,4,4
"콘티 디 부스까레토, 베르디끼오 데이 카스텔리 디 예지",가격정보없음,화이트,이탈리아,베르디키오 비앙코 (Verdicchio Bianco) ,1,3,3,1
"디알 스티븐스, 카르네로스 샤도네",가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,3,4,1
"디알 스티븐스, 무스 밸리 카버네 소비뇽","220,000원",레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
"데 탁잘, 마르제미노 '후싸'",가격정보없음,레드,이탈리아,마르제미노 (Marzemino) ,1,3,3,3
"덕혼, 골든아이 피노 누아","170,000원",레드,미국,피노 누아 (Pinot Noir) ,1,3,3,2
"에나떼, 샤도네 234",가격정보없음,화이트,스페인,샤르도네 (Chardonnay) ,1,3,3,1
"에나떼, 샤도네 배럴",가격정보없음,화이트,스페인,샤르도네 (Chardonnay) ,1,3,3,1
"에나떼, 리제르바",가격정보없음,레드,스페인,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
"파 니엔테, 샤도네이",가격정보없음,화이트,미국,샤르도네 (Chardonnay) ,1,0,3,0
"쥬세페 마스까렐로, 바롤로 몽프리바토",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,4,3,5
"쥬세페 마스까렐로, 랑게 프레이자 토에토",가격정보없음,레드,이탈리아,프레이자 (Freisa) ,1,3,3,3
그렉 노먼 이스테이트 샤도네,가격정보없음,화이트,호주,샤르도네 (Chardonnay) ,1,3,4,1
그렉 노먼 이스테이트 쉬라즈,가격정보없음,레드,호주,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
"하이츠 셀라, 벨라 옥스 빈야드 카버네 소비뇽",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
"하이츠 셀라, 마르따스 빈야드 카버네 소비뇽","590,000원",레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
"하이츠 셀라, 마르타스 빈야드 카버네 소비뇽","600,000원",레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,5
"하이츠 셀라, 마르따스 빈야드 카버네 소비뇽",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
"하이츠 셀라, 마르따스 빈야드 카버네 소비뇽","330,000원",레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
"하이츠 셀라, 마르따스 빈야드 카버네 소비뇽","390,000원",레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
"하이츠 셀라, 나파 밸리 카버네 소비뇽","190,000원",레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
"하이츠 셀라, 트레일사이드 빈야드 카버네 소비뇽",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
"하이츠 셀라, 트레일사이드 카버네 소비뇽",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,4,0
"하이츠 셀라, 트레일사이드 카버네 소비뇽",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,4,0
"앙리 부르주아, 뮈스까데 도멘 가데 비에이 비뉴","48,000원",화이트,프랑스,뮈스카데 (Muscadet) ,1,3,3,1
