,품종,당도,산도,바디,타닌
1900,피노 누아 (Pinot Noir) ,1,5,3,2
1901,피노 누아 (Pinot Noir) ,1,4,2,2
1902,피노 누아 (Pinot Noir) ,1,0,4,0
1903,피노 누아 (Pinot Noir) ,1,4,3,3
1904,리슬링 (Riesling) ,5,4,4,1
1905,피노 누아 (Pinot Noir) ,1,4,4,3
1906,피노 누아 (Pinot Noir) ,1,0,3,0
1907,피노 누아 (Pinot Noir) ,1,4,4,3
1908,피노 누아 (Pinot Noir) ,1,4,2,2
1909,루산느 (Roussanne) ,1,0,4,0
1910,피노 누아 (Pinot Noir) ,1,0,4,0
1911,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
1912,피노 누아 (Pinot Noir) ,1,4,4,3
1913,피노 누아 (Pinot Noir) ,1,0,3,0
1914,메를로 (Merlot) ,1,3,5,4
1915,피노 누아 (Pinot Noir) ,1,4,3,3
1916,피노 누아 (Pinot Noir) ,1,4,4,3
1917,피노 누아 (Pinot Noir) ,1,4,3,3
1918,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,5
1919,피노 그리 (Pinot Gris) ,1,3,3,1
1920,피노 누아 (Pinot Noir) ,1,3,3,4
1921,소비뇽 블랑 (Sauvignon Blanc) ,1,3,3,1
1922,피노 누아 (Pinot Noir) ,1,0,3,0
1923,피노 누아 (Pinot Noir) ,1,4,4,2
1924,메를로 (Merlot) ,1,3,4,4
1925,피노 누아 (Pinot Noir) ,1,0,4,0
1926,샤르도네 (Chardonnay) ,1,4,4,1
1927,피노 누아 (Pinot Noir) ,1,4,3,3
1928,케르너 (Kerner) ,5,2,2,1
1929,피노 누아 (Pinot Noir) ,1,4,3,3
1930,세미용 (Semillon) ,5,2,3,1
1931,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,3,3
1932,템프라니요 (Tempranillo) ,1,3,3,3
1933,파르디나 (Pardina) ,1,3,3,1
1934,템프라니요 (Tempranillo) ,1,4,5,4
1935,피노 누아 (Pinot Noir) ,1,0,4,0
1936,소비뇽 블랑 (Sauvignon Blanc) ,1,0,3,0
1937,피노 누아 (Pinot Noir) ,1,4,4,3
1938,피노 누아 (Pinot Noir) ,1,4,3,3
1939,피노 누아 (Pinot Noir) ,1,4,3,3
1940,피노 누아 (Pinot Noir) ,1,4,3,3
1941,피노 누아 (Pinot Noir) ,1,4,3,2
1942,피노 누아 (Pinot Noir) ,1,4,2,2
1943,피노 누아 (Pinot Noir) ,1,4,2,2
1944,피노 누아 (Pinot Noir) ,1,5,3,2
1945,피노 누아 (Pinot Noir) ,1,5,4,2
1946,가메이 (Gamay) ,1,5,2,2
1947,템프라니요 (Tempranillo) ,1,3,3,3
1948,템프라니요 (Tempranillo) ,1,3,3,3
1949,템프라니요 (Tempranillo) ,1,3,4,3
1950,템프라니요 (Tempranillo) ,1,3,4,3
1951,샤르도네 (Chardonnay) ,1,0,0,0
1952,피노 누아 (Pinot Noir) ,1,0,4,0
1953,피노 누아 (Pinot Noir) ,1,0,3,0
1954,피노 누아 (Pinot Noir) ,1,0,3,0
1955,피노 누아 (Pinot Noir) ,1,5,3,2
1956,피노 누아 (Pinot Noir) ,1,4,3,2
1957,피노 누아 (Pinot Noir) ,1,4,3,2
1958,피노 누아 (Pinot Noir) ,1,0,4,0
1959,샤르도네 (Chardonnay) ,1,5,4,1
1960,샤르도네 (Chardonnay) ,1,0,4,0
1961,피노 누아 (Pinot Noir) ,1,4,3,3
1962,샤르도네 (Chardonnay) ,1,5,2,1
1963,샤르도네 (Chardonnay) ,1,0,2,0
1964,루산느 (Roussanne) ,1,3,4,1
1965,모스카토  (Moscato ) ,4,0,2,0
1966,피노 누아 (Pinot Noir) ,1,5,2,2
1967,네로 다볼라 (Nero d'Avola) ,1,4,4,4
1968,메를로 (Merlot) ,1,3,3,3
1969,말벡 (Malbec) ,1,3,3,3
1970,피노 누아 (Pinot Noir) ,1,3,3,2
1971,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
1972,비오니에 (Viognier) ,1,4,3,1
1973,리슬링 (Riesling) ,1,3,3,1
1974,피노 누아 (Pinot Noir) ,1,5,3,3
1975,피노 누아 (Pinot Noir) ,1,5,4,3
1976,피노 누아 (Pinot Noir) ,1,3,4,3
1977,메를로 (Merlot) ,1,0,0,0
1978,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
1979,메를로 (Merlot) ,1,3,4,3
1980,샤르도네 (Chardonnay) ,1,5,4,1
1981,그르나슈 (Grenache) ,1,0,5,0
1982,그르나슈 (Grenache) ,1,3,5,4
1983,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,4,0
1984,메를로 (Merlot) ,1,0,4,0
1985,카르메네르 (Carmenere) ,1,3,3,3
1986,카르메네르 (Carmenere) ,1,3,4,4
1987,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,4,0
1988,샤르도네 (Chardonnay) ,2,3,3,1
1989,카르메네르 (Carmenere) ,1,3,3,2
1990,비오니에 (Viognier) ,1,3,2,1
1991,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
1992,피노 누아 (Pinot Noir) ,1,4,2,2
1993,피노 누아 (Pinot Noir) ,1,4,4,3
1994,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
1995,샤르도네 (Chardonnay) ,1,3,3,1
1996,샤르도네 (Chardonnay) ,1,3,3,1
1997,피노 누아 (Pinot Noir) ,1,4,3,2
1998,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,5
1999,시라/쉬라즈 (Syrah/Shiraz) ,1,0,5,0
2000,샤르도네 (Chardonnay) ,1,3,3,1
2001,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
2002,리슬링 (Riesling) ,1,2,3,1
2003,샤르도네 (Chardonnay) ,1,4,2,1
2004,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,3
2005,샤르도네 (Chardonnay) ,1,0,3,0
2006,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,4
2007,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
2008,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
2009,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
2010,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
2011,게뷔르츠트라미너 (Gewurztraminer) ,2,3,3,1
2012,샤르도네 (Chardonnay) ,1,3,3,1
2013,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
2014,네비올로 (Nebbiolo) ,1,4,3,5
2015,네비올로 (Nebbiolo) ,1,4,3,4
2016,네비올로 (Nebbiolo) ,1,4,2,4
2017,네로 다볼라 (Nero d'Avola) ,1,3,3,3
2018,샤르도네 (Chardonnay) ,1,3,3,1
2019,지비보 (Zibibbo) ,5,3,5,1
2020,산지오베제 (Sangiovese) ,1,4,4,4
2021,네비올로 (Nebbiolo) ,1,4,3,4
2022,바르베라 (Barbera) ,1,4,3,3
2023,바르베라 (Barbera) ,1,3,3,3
2024,몬테풀치아노 (Montepulciano) ,1,3,4,4
2025,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,4,0
2026,샤르도네 (Chardonnay) ,1,0,4,0
2027,샤르도네 (Chardonnay) ,1,3,3,1
2028,소비뇽 블랑 (Sauvignon Blanc) ,1,3,2,1
2029,샤르도네 (Chardonnay) ,1,4,4,1
2030,샤르도네 (Chardonnay) ,1,3,4,1
2031,샤르도네 (Chardonnay) ,1,3,3,1
2032,샤르도네 (Chardonnay) ,1,4,3,1
2033,샤르도네 (Chardonnay) ,1,4,4,1
2034,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,4,0
2035,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,4,0
2036,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,4,0
2037,샤르도네 (Chardonnay) ,1,3,3,1
2038,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
2039,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
2040,피노 블랑 (Pinot Blanc) ,1,3,4,1
2041,게뷔르츠트라미너 (Gewurztraminer) ,1,3,4,1
2042,피노 그리 (Pinot Gris) ,5,2,3,1
2043,피노 누아 (Pinot Noir) ,1,3,3,3
2044,피노 누아 (Pinot Noir) ,1,3,4,3
2045,피노 누아 (Pinot Noir) ,1,0,4,0
2046,피노 누아 (Pinot Noir) ,1,3,3,3
2047,피노 누아 (Pinot Noir) ,1,4,3,2
2048,가메이 (Gamay) ,1,4,2,2
2049,샤르도네 (Chardonnay) ,1,3,3,1
2050,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
2051,메를로 (Merlot) ,1,3,3,3
2052,템프라니요 (Tempranillo) ,1,0,0,0
2053,네비올로 (Nebbiolo) ,1,4,5,5
2054,네비올로 (Nebbiolo) ,1,4,3,4
2055,네비올로 (Nebbiolo) ,1,4,5,5
2056,네비올로 (Nebbiolo) ,1,4,5,5
2057,네비올로 (Nebbiolo) ,1,4,5,5
2058,네비올로 (Nebbiolo) ,1,4,3,4
2059,네비올로 (Nebbiolo) ,1,4,3,4
2060,네비올로 (Nebbiolo) ,1,4,2,4
2061,게뷔르츠트라미너 (Gewurztraminer) ,4,3,4,1
2062,리슬링 (Riesling) ,1,3,3,1
2063,리슬링 (Riesling) ,1,0,3,0
2064,샤르도네 (Chardonnay) ,1,5,2,1
2065,가메이 (Gamay) ,2,0,0,0
2066,샤르도네 (Chardonnay) ,1,4,2,1
2067,가메이 (Gamay) ,1,3,3,3
2068,가메이 (Gamay) ,2,0,0,0
2069,피노 누아 (Pinot Noir) ,1,0,4,0
2070,샤르도네 (Chardonnay) ,1,4,4,1
2071,피노 누아 (Pinot Noir) ,1,4,3,2
2072,피노 누아 (Pinot Noir) ,1,0,0,0
2073,피노 누아 (Pinot Noir) ,1,4,3,2
2074,피노 누아 (Pinot Noir) ,1,4,2,2
2075,피노 누아 (Pinot Noir) ,1,5,3,2
2076,피노 누아 (Pinot Noir) ,1,0,3,0
2077,피노 누아 (Pinot Noir) ,1,5,3,3
2078,피노 누아 (Pinot Noir) ,1,4,2,2
2079,피노 누아 (Pinot Noir) ,1,0,0,0
2080,피노 누아 (Pinot Noir) ,1,4,2,2
2081,피노 누아 (Pinot Noir) ,1,5,2,2
2082,알리고테 (Aligote) ,1,5,1,1
2083,세미용 (Semillon) ,5,2,5,1
2084,모스카토  (Moscato ) ,4,0,0,0
2085,네로 다볼라 (Nero d'Avola) ,1,0,4,0
2086,네로 다볼라 (Nero d'Avola) ,1,0,3,0
2087,시라/쉬라즈 (Syrah/Shiraz) ,1,0,3,0
2088,네로 다볼라 (Nero d'Avola) ,1,3,5,4
2089,네로 다볼라 (Nero d'Avola) ,1,3,4,3
2090,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
2091,샤르도네 (Chardonnay) ,1,3,3,1
2092,피노 누아 (Pinot Noir) ,1,3,3,3
2093,메를로 (Merlot) ,1,3,3,3
2094,샤르도네 (Chardonnay) ,1,3,3,1
2095,말벡 (Malbec) ,1,3,4,4
2096,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
2097,말벡 (Malbec) ,1,3,4,4
2098,메를로 (Merlot) ,1,3,3,3
2099,세미용 (Semillon) ,5,2,3,1
2100,세미용 (Semillon) ,5,2,3,1
2101,피노 누아 (Pinot Noir) ,1,4,3,2
2102,샤르도네 (Chardonnay) ,1,0,2,0
2103,피노 누아 (Pinot Noir) ,1,3,3,3
2104,피노 누아 (Pinot Noir) ,1,3,3,3
2105,시라/쉬라즈 (Syrah/Shiraz) ,2,2,2,1
2106,템프라니요 (Tempranillo) ,2,2,2,1
2108,카스텔라옹 (Castelao) ,1,3,3,3
2110,모스카텔 드 세투발  (Moscatel de Setubal) ,1,3,2,1
2111,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
2112,샤르도네 (Chardonnay) ,1,3,3,1
2113,카르메네르 (Carmenere) ,1,3,3,3
2114,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
2115,샤르도네 (Chardonnay) ,1,4,3,1
2116,카르메네르 (Carmenere) ,1,3,3,3
2117,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
2118,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
2119,네비올로 (Nebbiolo) ,1,4,4,4
2120,네비올로 (Nebbiolo) ,1,4,4,4
2121,그르나슈 (Grenache) ,1,4,4,4
2122,네비올로 (Nebbiolo) ,1,4,3,4
2123,네비올로 (Nebbiolo) ,1,0,0,0
2124,가르가네가 (Garganega) ,1,4,2,1
2125,산지오베제 (Sangiovese) ,1,4,3,3
2126,알리아니코 (Aglianico) ,1,2,5,3
2127,피노 그리지오 (Pinot Grigio) ,1,3,2,1
2128,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
2129,샤르도네 (Chardonnay) ,1,3,3,1
2130,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,5
2131,산지오베제 (Sangiovese) ,1,4,5,4
2132,산지오베제 (Sangiovese) ,1,3,4,3
2133,산지오베제 (Sangiovese) ,1,4,3,3
2134,산지오베제 (Sangiovese) ,1,3,3,3
2135,산지오베제 (Sangiovese) ,1,3,3,3
2136,산지오베제 (Sangiovese) ,1,3,3,3
2137,산지오베제 (Sangiovese) ,1,3,3,3
2138,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,5
2139,산지오베제 (Sangiovese) ,1,3,4,3
2140,산지오베제 (Sangiovese) ,1,4,4,3
2141,몬테풀치아노 (Montepulciano) ,1,4,4,4
2142,트레비아노 (Trebbiano) ,1,3,2,1
2143,리슬링 (Riesling) ,1,0,0,0
2144,네비올로 (Nebbiolo) ,1,3,2,4
2145,바르베라 (Barbera) ,1,4,3,2
2146,바르베라 (Barbera) ,1,3,4,3
2147,네비올로 (Nebbiolo) ,1,4,3,3
2148,브라케토 (Brachetto) ,4,2,2,1
2149,샤르도네 (Chardonnay) ,1,4,3,1
2150,틴토피노  (Tinto Fino ) ,1,4,5,5
2151,틴토피노  (Tinto Fino ) ,1,3,4,4
2152,틴토피노  (Tinto Fino ) ,1,3,4,3
2153,틴토피노  (Tinto Fino ) ,1,3,4,4
2154,틴토피노  (Tinto Fino ) ,1,3,4,3
2155,리슬링 (Riesling) ,2,5,2,1
2156,리슬링 (Riesling) ,1,5,2,1
2157,리슬링 (Riesling) ,3,5,2,1
2158,리슬링 (Riesling) ,5,2,3,1
2159,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
2160,메를로 (Merlot) ,1,3,3,3
2161,소비뇽 블랑 (Sauvignon Blanc) ,2,4,2,1
2162,샤르도네 (Chardonnay) ,1,0,0,0
2163,샤르도네 (Chardonnay) ,1,5,3,1
2164,피노 누아 (Pinot Noir) ,1,4,3,2
2165,피노 누아 (Pinot Noir) ,1,4,2,2
2166,피노 누아 (Pinot Noir) ,1,4,2,3
2167,피노 누아 (Pinot Noir) ,1,4,3,2
2168,피노 누아 (Pinot Noir) ,1,4,3,2
2169,피노 누아 (Pinot Noir) ,1,4,3,3
2170,피노 누아 (Pinot Noir) ,1,0,5,0
2171,샤르도네 (Chardonnay) ,1,0,0,0
2172,피노 누아 (Pinot Noir) ,1,5,4,1
2173,피노 누아 (Pinot Noir) ,1,0,0,0
2174,피노 누아 (Pinot Noir) ,1,4,3,3
2175,피노 누아 (Pinot Noir) ,1,0,0,0
2176,피노 누아 (Pinot Noir) ,1,4,3,2
2177,샤르도네 (Chardonnay) ,1,4,3,1
2178,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,5
2179,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,5
2180,시라/쉬라즈 (Syrah/Shiraz) ,1,4,3,3
2181,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
2182,소비뇽 블랑 (Sauvignon Blanc) ,4,3,2,1
2183,모스카텔 (Moscatel) ,5,0,0,0
2184,샤르도네 (Chardonnay) ,1,4,3,1
2185,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
2186,샤르도네 (Chardonnay) ,2,3,2,1
2187,메를로 (Merlot) ,1,3,3,3
2188,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
2189,샤르도네 (Chardonnay) ,1,4,3,1
2190,메를로 (Merlot) ,1,3,4,3
2191,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,5
2192,피노 누아 (Pinot Noir) ,1,3,3,3
2193,샤르도네 (Chardonnay) ,2,0,2,0
2194,카르메네르 (Carmenere) ,1,0,3,0
2195,피노 누아 (Pinot Noir) ,1,5,3,3
2196,소비뇽 블랑 (Sauvignon Blanc) ,1,5,3,1
2197,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
2198,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
2199,샤르도네 (Chardonnay) ,1,3,3,1
2200,메를로 (Merlot) ,1,3,4,3
2201,츠바이겔트 (Zweigelt) ,1,4,2,2
2202,블라우프랜키쉬 (Blaufrankisch) ,1,4,4,4
2203,츠바이겔트 (Zweigelt) ,1,4,4,3
2204,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
2205,뮈스까 오또넬 (Muscat Ottonel) ,1,4,2,1
2206,츠바이겔트 (Zweigelt) ,1,4,3,3
2207,블라우프랜키쉬 (Blaufrankisch) ,1,4,4,4
2208,생로랑 (St. Laurent) ,1,3,3,3
2209,그뤼너 벨트리너 (Gruner Veltliner) ,1,3,2,1
2211,바이스부르군더 (Weissburgunder) ,3,3,3,1
2212,블라우프랜키쉬 (Blaufrankisch) ,1,4,4,4
2213,블라우프랜키쉬 (Blaufrankisch) ,1,4,4,4
2214,피노 누아 (Pinot Noir) ,1,4,3,3
2215,샤르도네 (Chardonnay) ,5,2,3,1
2216,그뤼너 벨트리너 (Gruner Veltliner) ,1,3,2,1
2217,템프라니요 (Tempranillo) ,1,0,0,0
2218,틴토피노  (Tinto Fino ) ,1,0,0,0
2219,템프라니요 (Tempranillo) ,1,0,0,0
2220,템프라니요 (Tempranillo) ,1,3,4,3
2221,메를로 (Merlot) ,2,3,2,3
2222,템프라니요 (Tempranillo) ,1,0,0,0
2223,샤르도네 (Chardonnay) ,1,3,3,1
2224,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
2225,피노 누아 (Pinot Noir) ,1,5,3,3
2226,피노 누아 (Pinot Noir) ,1,4,3,3
2227,피노 누아 (Pinot Noir) ,1,4,3,2
2228,샤르도네 (Chardonnay) ,1,5,3,2
2229,샤르도네 (Chardonnay) ,1,5,3,1
2230,피노 누아 (Pinot Noir) ,1,5,3,2
2231,피노 누아 (Pinot Noir) ,1,4,2,2
2232,피노 누아 (Pinot Noir) ,1,4,3,3
2233,피노 누아 (Pinot Noir) ,1,5,2,2
2234,피노 누아 (Pinot Noir) ,1,4,3,3
2235,피노 누아 (Pinot Noir) ,1,4,3,2
2236,피노 누아 (Pinot Noir) ,1,4,3,3
2237,피노 누아 (Pinot Noir) ,1,0,3,0
2238,피노 누아 (Pinot Noir) ,1,0,3,0
2239,피노 누아 (Pinot Noir) ,1,4,2,2
2240,피노 누아 (Pinot Noir) ,1,0,4,0
2241,피노 누아 (Pinot Noir) ,1,4,2,2
2242,피노 누아 (Pinot Noir) ,1,0,3,0
2243,피노 누아 (Pinot Noir) ,1,0,0,0
2244,피노 누아 (Pinot Noir) ,1,4,3,3
2245,피노 누아 (Pinot Noir) ,1,4,3,2
2246,피노 누아 (Pinot Noir) ,1,4,2,2
2247,피노 누아 (Pinot Noir) ,1,4,2,2
2248,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,3,3
2249,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,5
2250,말벡 (Malbec) ,1,3,4,4
2251,말벡 (Malbec) ,1,3,5,4
2252,말벡 (Malbec) ,1,3,5,5
2253,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
2254,뮈스까 (Muscat) ,5,2,4,1
2255,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
2256,메를로 (Merlot) ,1,3,3,3
2257,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
2258,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
2259,리슬링 (Riesling) ,1,4,2,1
2260,템프라니요 (Tempranillo) ,1,3,3,3
2261,템프라니요 (Tempranillo) ,1,3,2,2
2262,피노 누아 (Pinot Noir) ,1,4,3,3
2263,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,4
2264,피노 누아 (Pinot Noir) ,1,5,2,2
2265,가메이 (Gamay) ,1,5,2,2
2266,피노 누아 (Pinot Noir) ,1,4,2,2
2267,피노 누아 (Pinot Noir) ,1,4,2,2
2268,샤르도네 (Chardonnay) ,1,4,2,1
2269,샤르도네 (Chardonnay) ,1,5,3,1
2270,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,2,3
2271,피노 누아 (Pinot Noir) ,1,4,4,3
2272,피노 누아 (Pinot Noir) ,1,5,3,2
2273,피노 누아 (Pinot Noir) ,1,0,3,0
2274,피노 누아 (Pinot Noir) ,1,0,3,0
2275,피노 누아 (Pinot Noir) ,1,4,2,2
2276,샤르도네 (Chardonnay) ,1,5,3,1
2277,가르나차  (Garnacha) ,2,3,2,1
2278,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
2279,메를로 (Merlot) ,1,3,3,3
2280,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,3,3
2281,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,3
2282,게뷔르츠트라미너 (Gewurztraminer) ,3,3,3,1
2283,리슬링 (Riesling) ,3,0,2,0
2285,피노 누아 (Pinot Noir) ,1,4,3,2
2286,샤르도네 (Chardonnay) ,1,3,2,1
2287,피노 그리지오 (Pinot Grigio) ,1,3,2,1
2288,샤르도네 (Chardonnay) ,1,3,2,1
2289,소비뇽 블랑 (Sauvignon Blanc) ,1,5,2,1
2290,산지오베제 그로쏘  (Sangiovese Grosso) ,1,3,3,3
2291,산지오베제 (Sangiovese) ,1,4,3,2
2292,산지오베제 (Sangiovese) ,1,4,4,4
2293,라그레인 (Lagrein) ,1,3,4,3
2294,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
2295,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
2296,시라/쉬라즈 (Syrah/Shiraz) ,1,3,3,4
2297,메를로 (Merlot) ,1,3,3,3
2298,피노 누아 (Pinot Noir) ,1,3,4,3
2299,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
2300,네그로아마로 (Negroamaro) ,1,3,4,3
2301,수수마니엘로 (Susumaniello) ,1,3,4,3
2302,모스카토  (Moscato ) ,4,2,2,1
2303,소비뇽 블랑 (Sauvignon Blanc) ,1,3,3,1
2304,피노 누아 (Pinot Noir) ,1,3,3,3
2305,샤르도네 (Chardonnay) ,1,3,3,1
2306,피노 누아 (Pinot Noir) ,1,4,3,2
2307,샤르도네 (Chardonnay) ,1,3,3,1
2308,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
2309,카르메네르 (Carmenere) ,1,3,3,3
2310,샤르도네 (Chardonnay) ,1,3,3,1
2311,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
2312,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
2313,카르메네르 (Carmenere) ,1,0,0,0
2314,피노 누아 (Pinot Noir) ,1,0,4,0
2315,피노 누아 (Pinot Noir) ,1,3,3,3
2316,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
2317,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,4
2318,메를로 (Merlot) ,2,4,2,3
2319,시라/쉬라즈 (Syrah/Shiraz) ,1,4,2,4
2320,피노타주 (Pinotage) ,1,4,2,3
2321,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
2322,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
2323,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,5
2324,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
2325,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
2326,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
2327,말벡 (Malbec) ,1,3,4,4
2328,따나 (Tannat) ,1,4,4,4
2329,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
2330,말벡 (Malbec) ,1,3,4,4
2331,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,3
2332,쁘띠 베르도 (Petit Verdot) ,1,2,5,4
2333,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
2334,템프라니요 (Tempranillo) ,1,3,3,3
2335,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,3
2336,템프라니요 (Tempranillo) ,1,3,4,3
2337,템프라니요 (Tempranillo) ,1,3,4,3
2338,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
2339,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
2340,소비뇽 블랑 (Sauvignon Blanc) ,1,4,2,1
2341,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,3
2342,베르데호 (Verdejo) ,1,3,3,1
2343,템프라니요 (Tempranillo) ,1,3,5,4
2344,템프라니요 (Tempranillo) ,1,3,4,3
2345,템프라니요 (Tempranillo) ,1,0,0,0
2346,템프라니요 (Tempranillo) ,1,3,4,3
2347,템프라니요 (Tempranillo) ,1,3,4,3
2348,샤르도네 (Chardonnay) ,1,3,3,1
2349,피노 누아 (Pinot Noir) ,1,4,3,2
2350,샤르도네 (Chardonnay) ,1,0,3,0
2351,피노 누아 (Pinot Noir) ,1,0,3,0
2352,시라/쉬라즈 (Syrah/Shiraz) ,1,0,5,0
2353,산지오베제 (Sangiovese) ,1,4,4,4
2354,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,4
2355,산지오베제 (Sangiovese) ,1,4,3,2
2356,피노 누아 (Pinot Noir) ,1,4,3,2
2357,프리미티보 (Primitivo) ,1,2,5,3
2358,산지오베제 (Sangiovese) ,1,3,3,3
2359,베르나키아 (Vernaccia) ,1,3,3,1
2360,소비뇽 블랑 (Sauvignon Blanc) ,1,3,2,1
2361,피노 그리지오 (Pinot Grigio) ,1,3,2,1
2362,산지오베제 (Sangiovese) ,1,4,2,2
2363,피노 누아 (Pinot Noir) ,1,5,3,2
2364,피노 누아 (Pinot Noir) ,1,5,2,2
2365,샤르도네 (Chardonnay) ,1,4,3,1
2366,샤르도네 (Chardonnay) ,1,4,3,1
2367,피노 누아 (Pinot Noir) ,1,4,2,2
2368,피노 누아 (Pinot Noir) ,1,4,3,2
2369,피노 누아 (Pinot Noir) ,1,4,2,2
2370,샤르도네 (Chardonnay) ,1,5,2,1
2371,피노 누아 (Pinot Noir) ,1,0,0,0
2372,샤르도네 (Chardonnay) ,1,4,4,1
2373,샤르도네 (Chardonnay) ,1,5,3,1
2374,샤르도네 (Chardonnay) ,1,0,0,0
2375,피노 누아 (Pinot Noir) ,1,5,2,2
2376,피노 누아 (Pinot Noir) ,1,5,3,2
2377,샤르도네 (Chardonnay) ,1,4,3,1
2378,피노 누아 (Pinot Noir) ,1,5,3,2
2379,피노 누아 (Pinot Noir) ,1,0,0,0
2380,피노 누아 (Pinot Noir) ,1,4,4,3
2381,피노 누아 (Pinot Noir) ,1,5,3,2
2382,네비올로 (Nebbiolo) ,1,4,3,4
2383,네비올로 (Nebbiolo) ,1,4,3,4
2384,바르베라 (Barbera) ,1,4,3,3
2385,모스카토  (Moscato ) ,4,2,3,1
2386,모스카토  (Moscato ) ,4,2,2,1
2387,메를로 (Merlot) ,1,4,3,4
