,품종,당도,산도,바디,타닌
110,리슬링 (Riesling) ,1,0,4,0
111,시라/쉬라즈 (Syrah/Shiraz) ,1,4,4,5
112,샤르도네 (Chardonnay) ,1,3,4,1
113,게뷔르츠트라미너 (Gewurztraminer) ,2,3,3,1
114,게뷔르츠트라미너 (Gewurztraminer) ,4,4,4,1
115,피노 그리 (Pinot Gris) ,1,0,3,0
116,피노 누아 (Pinot Noir) ,1,0,3,0
117,리슬링 (Riesling) ,1,5,3,1
118,리슬링 (Riesling) ,1,3,4,1
119,샤르도네 (Chardonnay) ,1,5,4,1
120,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
121,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
122,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
123,쇼이레베 (Scheurebe) ,5,0,4,0
124,샤르도네 (Chardonnay) ,1,0,0,0
125,샤르도네 (Chardonnay) ,1,3,3,1
126,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
127,메를로 (Merlot) ,1,3,3,3
128,소비뇽 블랑 (Sauvignon Blanc) ,1,0,2,0
129,샤르도네 (Chardonnay) ,1,4,3,1
130,메를로 (Merlot) ,1,4,3,4
131,샤르도네 (Chardonnay) ,1,3,4,1
132,샤르도네 (Chardonnay) ,1,3,4,1
133,샤르도네 (Chardonnay) ,1,3,4,1
134,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,5
135,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,5
136,비우라 (Viura) ,1,4,3,1
137,템프라니요 (Tempranillo) ,1,3,3,2
138,피노 누아 (Pinot Noir) ,1,3,3,3
139,피노 누아 (Pinot Noir) ,1,4,2,2
140,시라/쉬라즈 (Syrah/Shiraz) ,2,0,3,0
141,샤르도네 (Chardonnay) ,1,0,3,0
142,말벡 (Malbec) ,1,0,4,0
143,샤르도네 (Chardonnay) ,1,2,3,1
144,샤르도네 (Chardonnay) ,1,0,4,0
145,게뷔르츠트라미너 (Gewurztraminer) ,5,0,4,0
146,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
147,소비뇽 블랑 (Sauvignon Blanc) ,1,0,3,0
148,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,5
149,말벡 (Malbec) ,1,0,4,0
150,산지오베제 (Sangiovese) ,1,4,4,4
151,산지오베제 (Sangiovese) ,1,0,0,0
152,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,3,4
